country,score
Vietnam,64
Madagascar,60
Guinea-Bissau,59
Cuba,55
Cape Verde,49
Greenland,48.4
India,48
Trinidad and Tobago,48
Cambodia,45
Sierra Leone,45
Barbados,45
Congo,44
Pakistan,43
Kenya,43
Uganda,43
Samoa,43
Peru,42
Liberia,42
Maldives,42
Nepal,41
Gabon,41
Mozambique,40
Vanuatu,39
Sao Tome and Principe,39
Tanzania,38
Haiti,38
Bolivia,38
Jamaica,38
Ghana,37
Dominican Republic,37
Saint Lucia,37
Philippines,36
Papua New Guinea,36
Guyana,36
Bangladesh,35
Ivory Coast,35
Zambia,35
Cameroon,34
Laos,34
Paraguay,34
East Timor,34
Nigeria,33
DR Congo,33
Argentina,33
Angola,33
Brazil,32
Benin,32
Togo,32
Bhutan,32
Solomon Islands,32
Belize,32
Mexico,31
Malawi,31
Kyrgyzstan,31
Puerto Rico,31
Botswana,31
Comoros,31
Suriname,31
South Africa,30
Burkina Faso,30
Panama,30
Somalia,29
Namibia,29
Eswatini,29
French Guiana,29
China,28
Sri Lanka,28
Ecuador,28
Rwanda,28
Colombia,27
Central African Republic,27
Myanmar,26
Guinea,26
Burundi,26
Tajikistan,26
Indonesia,25
Thailand,25
South Sudan,25
Tonga,25
Ethiopia,24
El Salvador,24
Uzbekistan,23
Mali,23
Lesotho,23
Egypt,23
South Korea,21
Honduras,21
Costa Rica,21
Mongolia,21
Eritrea,21
Djibouti,21
Kazakhstan,20.1
Guatemala,19
Turkmenistan,19
United Kingdom,18.6
Zimbabwe,18
Moldova,18
Chad,17
Sweden,17
Mauritania,17
Australia,16
Gambia,16
Georgia,15.7
France,15.5
Niger,15
Senegal,15
Greece,15
United States,14.4
Nicaragua,14
North Macedonia,14
Russia,13.1
Iceland,13
Armenia,12.8
Canada,12
New Zealand,12
Denmark,12
Bulgaria,11.9
Azerbaijan,11.8
Belarus,11.4
Norway,11
Uruguay,11
Bosnia and Herzegovina,11
Iran,10.7
Estonia,10.3
Poland,10
Hungary,9.8
Israel,8.4
Belgium,8
Spain,7.5
Chile,7
Netherlands,7
Romania,6.7
Finland,6.5
Czech Republic,6.4
Latvia,6.4
Slovenia,6.1
Japan,6
Ukraine,6
Montenegro,6
Portugal,5.6
Germany,5.4
Luxembourg,5.2
Switzerland,5.1
Singapore,5
Italy,4.9
Serbia,4.8
Slovakia,4.4
Lithuania,4.3
Turkey,2.7
Croatia,2.7
Austria,1.3
Albania,1.2
Algeria,0.4
