country,score
Greece,6.52
Spain,6.04
Portugal,5.88
Palestine,5.75
Tunisia,5.75
Bahrain,5.52
Morocco,5.49
Iran,5.48
Lithuania,5.42
Ukraine,5.25
Monaco,5.21
Lesotho,5.17
Latvia,5.16
Guyana,5.15
Gabon,5.12
Suriname,5.10
Estonia,5.09
San Marino,5.09
Lebanon,5.06
Australia,5.05
Belarus,5.04
United Kingdom,5.02
Libya,5.01
Finland,5.00
Ireland,4.99
Sweden,4.98
Cuba,4.95
Qatar,4.92
United States of America,4.92
Kuwait,4.90
Saudi Arabia,4.90
Republic of the Congo,4.81
France,4.74
Switzerland,4.72
Bangladesh,4.67
Central African Republic,4.67
Saint Kitts and Nevis,4.66
Andorra,4.65
Nepal,4.64
Equatorial Guinea,4.63
Mauritius,4.63
United Arab Emirates,4.63
Italy,4.62
Turkey,4.60
Israel,4.55
Trinidad and Tobago,4.52
Uganda,4.48
South Africa,4.45
Algeria,4.42
Denmark,4.41
Netherlands,4.41
Syria,4.39
Belgium,4.36
Oman,4.33
Germany,4.32
Brazil,4.29
Chile,4.28
Slovenia,4.28
Angola,4.27
Georgia,4.26
Moldova,4.25
Democratic Republic of the Congo,4.21
The Gambia,4.21
Rwanda,4.20
Yemen,4.20
Jordan,4.19
Bermuda,4.18
Botswana,4.16
Croatia,4.13
United States Virgin Islands,4.12
New Zealand,4.08
Mongolia,4.07
Bhutan,4.06
Luxembourg,4.02
Djibouti,4.01
Sudan,4.00
Malaysia,3.99
Comoros,3.97
Afghanistan,3.96
Barbados,3.96
Austria,3.95
Dominican Republic,3.95
Malta,3.95
Saint Lucia,3.95
Russia,3.91
Hungary,3.89
Iraq,3.89
Paraguay,3.88
Egypt,3.87
Eswatini,3.87
Mexico,3.87
Eritrea,3.85
Norway,3.85
Czech Republic,3.84
Saint Vincent and the Grenadines,3.83
Kenya,3.82
Cyprus,3.81
Palau,3.80
Canada,3.74
Bulgaria,3.73
Kazakhstan,3.72
Ghana,3.71
Madagascar,3.70
Thailand,3.70
Costa Rica,3.69
India,3.69
Serbia,3.69
Grenada,3.68
Armenia,3.67
Bosnia and Herzegovina,3.67
People's Republic of China,3.67
Puerto Rico,3.67
Liberia,3.62
El Salvador,3.61
Montenegro,3.59
Taiwan,3.59
Antigua and Barbuda,3.57
Dominica,3.57
Slovakia,3.56
Togo,3.56
Cameroon,3.54
Venezuela,3.53
Iceland,3.52
Tanzania,3.52
The Bahamas,3.52
Romania,3.51
Guam,3.48
South Sudan,3.48
Mozambique,3.47
Ecuador,3.46
Northern Mariana Islands,3.45
Jamaica,3.44
Ethiopia,3.41
Guatemala,3.41
Burundi,3.39
Sierra Leone,3.39
Guinea-Bissau,3.38
Uruguay,3.34
Haiti,3.33
Belize,3.32
Kyrgyzstan,3.31
Somalia,3.31
North Korea,3.30
Republic of Macedonia,3.30
Chad,3.29
Nicaragua,3.27
Bolivia,3.26
Namibia,3.26
São Tomé and Príncipe,3.26
Sri Lanka,3.26
Pakistan,3.23
Guinea,3.16
Zambia,3.16
Benin,3.15
Maldives,3.15
Panama,3.15
Senegal,3.15
Azerbaijan,3.13
Seychelles,3.12
Uzbekistan,3.12
Turkmenistan,3.11
Malawi,3.10
Burkina Faso,3.07
Albania,3.05
Ivory Coast,3.05
Fiji,3.01
Poland,2.98
Mauritania,2.94
Cambodia,2.89
Federated States of Micronesia,2.87
Honduras,2.86
Vietnam,2.83
Nauru,2.81
Marshall Islands,2.79
Nigeria,2.76
Zimbabwe,2.76
Argentina,2.72
Papua New Guinea,2.70
Philippines,2.69
Laos,2.67
Japan,2.66
Niger,2.65
South Korea,2.64
Indonesia,2.63
Vanuatu,2.63
Tajikistan,2.60
Solomon Islands,2.55
Colombia,2.51
Mali,2.46
Singapore,2.45
East Timor,2.41
Peru,2.36
Myanmar,2.28
Brunei,1.83
