country, score
Singapore, 107
China, 105
Hong Kong, 105
Japan, 104
South Korea, 104
North Korea, 104
Taiwan, 104
Canada, 100
Netherlands, 100
Switzerland, 100
Finland, 100
Mongolia, 100
Liechtenstein, 100
United Kingdom, 99
Australia, 99
Belgium, 99
Austria, 99
Estonia, 99
Germany, 98
France, 98
Czech Republic, 98
Sweden, 98
Hungary, 98
Slovakia, 98
New Zealand, 98
Iceland, 98
United States, 97
Denmark, 97
Norway, 97
Croatia, 97
Slovenia, 97
Andorra, 97
Russia, 96
Italy, 96
Spain, 96
Poland, 96
Belarus, 95
Latvia, 95
Luxembourg, 95
Malta, 95
Vietnam, 94
Ukraine, 94
Portugal, 94
Israel, 94
Ireland, 94
Lithuania, 94
Greece, 93
Bulgaria, 93
Armenia, 93
Argentina, 92
Cambodia, 92
Moldova, 92
Malaysia, 91
Romania, 91
Cyprus, 91
Greenland, 91
Serbia, 90
Uruguay, 90
Bermuda, 90
Turkey, 89
Thailand, 89
Chile, 89
Laos, 89
Suriname, 89
Brunei, 89
Cook Islands, 89
Ecuador, 88
Mauritius, 88
Samoa, 88
Mexico, 87
Iraq, 87
Bolivia, 87
United Arab Emirates, 87
Philippines, 86
Jordan, 86
Costa Rica, 86
Georgia, 86
Trinidad and Tobago, 86
Tonga, 86
Indonesia, 85
Brazil, 85
Iran, 85
Myanmar, 85
Kazakhstan, 85
Tunisia, 85
Cuba, 85
Libya, 85
Kuwait, 85
Bahrain, 85
Fiji, 85
Montenegro, 85
New Caledonia, 85
Kiribati, 85
Pakistan, 84
Algeria, 84
Peru, 84
Azerbaijan, 84
Paraguay, 84
Lebanon, 84
Nicaragua, 84
Oman, 84
Palestine, 84
Bahamas, 84
Vanuatu, 84
Micronesia, 84
Seychelles, 84
Marshall Islands, 84
Colombia, 83
Venezuela, 83
Solomon Islands, 83
India, 82
Egypt, 82
Morocco, 82
Madagascar, 82
Syria, 82
Dominican Republic, 82
Albania, 82
Bangladesh, 81
Honduras, 81
Guyana, 81
Maldives, 81
Uzbekistan, 80
Yemen, 80
Tajikistan, 80
Turkmenistan, 80
Panama, 80
Qatar, 80
Barbados, 80
Saudi Arabia, 79
Sri Lanka, 79
Guatemala, 79
Nepal, 78
El Salvador, 78
Bhutan, 78
Sudan, 77
Comoros, 77
Rwanda, 76
Botswana, 76
Cape Verde, 76
Belize, 76
Afghanistan, 75
Eritrea, 75
Djibouti, 75
Kenya, 74
Zambia, 74
Kyrgyzstan, 74
Mauritania, 74
Grenada, 74
Antigua and Barbuda, 74
Saint Kitts and Nevis, 74
Tanzania, 73
Republic of the Congo, 73
Somalia, 72
Zimbabwe, 72
Burundi, 72
Nigeria, 71
South Africa, 71
Uganda, 71
Angola, 71
Ivory Coast, 71
Benin, 71
Jamaica, 71
Saint Vincent and the Grenadines, 71
Niger, 70
Burkina Faso, 70
Senegal, 70
Togo, 70
Namibia, 70
Mozambique, 69
Ghana, 69
Mali, 69
Gabon, 69
Guinea-Bissau, 69
Equatorial Guinea, 69
Ethiopia, 68
DR Congo, 68
Liberia, 68
Haiti, 67
Sao Tome and Principe, 67
Dominica, 67
Chad, 66
Guinea, 66
Lesotho, 66
Cameroon, 64
Sierra Leone, 64
Central African Republic, 64
Gambia, 62
Saint Lucia, 62
Malawi, 60
