country, score
Andorra, 1.601554
United Arab Emirates, 53.847818
Afghanistan, 67.709953
Antigua and Barbuda, -61.796428
Anguilla, -63.068615
Albania, 20.168331
Armenia, 45.038189
Netherlands Antilles, -69.060087
Angola, 17.873887
Antarctica, -0.071389
Argentina, -63.616672
American Samoa, -170.132217
Austria, 14.550072
Australia, 133.775136
Aruba, -69.968338
Azerbaijan, 47.576927
Bosnia and Herzegovina, 17.679076
Barbados, -59.543198
Bangladesh, 90.356331
Belgium, 4.469936
Burkina Faso, -1.561593
Bulgaria, 25.48583
Bahrain, 50.637772
Burundi, 29.918886
Benin, 2.315834
Bermuda, -64.75737
Brunei, 114.727669
Bolivia, -63.588653
Brazil, -51.92528
Bahamas, -77.39628
Bhutan, 90.433601
Bouvet Island, 3.413194
Botswana, 24.684866
Belarus, 27.953389
Belize, -88.49765
Canada, -106.346771
Cocos [Keeling] Islands, 96.870956
Congo [DRC], 21.758664
Central African Republic, 20.939444
Congo [Republic], 15.827659
Switzerland, 8.227512
Côte d'Ivoire, -5.54708
Cook Islands, -159.777671
Chile, -71.542969
Cameroon, 12.354722
China, 104.195397
Colombia, -74.297333
Costa Rica, -83.753428
Cuba, -77.781167
Cape Verde, -24.013197
Christmas Island, 105.690449
Cyprus, 33.429859
Czech Republic, 15.472962
Germany, 10.451526
Djibouti, 42.590275
Denmark, 9.501785
Dominica, -61.370976
Dominican Republic, -70.162651
Algeria, 1.659626
Ecuador, -78.183406
Estonia, 25.013607
Egypt, 30.802498
Western Sahara, -12.885834
Eritrea, 39.782334
Spain, -3.74922
Ethiopia, 40.489673
Finland, 25.748151
Fiji, 179.414413
Falkland Islands [Islas Malvinas], -59.523613
Micronesia, 150.550812
Faroe Islands, -6.911806
France, 2.213749
Gabon, 11.609444
United Kingdom, -3.435973
Grenada, -61.604171
Georgia, 43.356892
French Guiana, -53.125782
Guernsey, -2.585278
Ghana, -1.023194
Gibraltar, -5.345374
Greenland, -42.604303
Gambia, -15.310139
Guinea, -9.696645
Guadeloupe, -62.067641
Equatorial Guinea, 10.267895
Greece, 21.824312
South Georgia and the South Sandwich Islands, -36.587909
Guatemala, -90.230759
Guam, 144.793731
Guinea-Bissau, -15.180413
Guyana, -58.93018
Gaza Strip, 34.308825
Hong Kong, 114.109497
Heard Island and McDonald Islands, 73.504158
Honduras, -86.241905
Croatia, 15.2
Haiti, -72.285215
Hungary, 19.503304
Indonesia, 113.921327
Ireland, -8.24389
Israel, 34.851612
Isle of Man, -4.548056
India, 78.96288
British Indian Ocean Territory, 71.876519
Iraq, 43.679291
Iran, 53.688046
Iceland, -19.020835
Italy, 12.56738
Jersey, -2.13125
Jamaica, -77.297508
Jordan, 36.238414
Japan, 138.252924
Kenya, 37.906193
Kyrgyzstan, 74.766098
Cambodia, 104.990963
Kiribati, -168.734039
Comoros, 43.872219
Saint Kitts and Nevis, -62.782998
North Korea, 127.510093
South Korea, 127.766922
Kuwait, 47.481766
Cayman Islands, -80.566956
Kazakhstan, 66.923684
Laos, 102.495496
Lebanon, 35.862285
Saint Lucia, -60.978893
Liechtenstein, 9.555373
Sri Lanka, 80.771797
Liberia, -9.429499
