country,score
Afghanistan,4
Albania,1.7
Algeria,1.8
American Samoa,0
Andorra,2.6
Angola,4.1
Anguilla,28.3
Antigua and Barbuda,10.7
Argentina,4.3
Armenia,2.2
Aruba,1.9
Australia,0.8
Austria,0.9
Azerbaijan,1.9
Bahamas,31.2
Bahrain,0.1
Bangladesh,2.3
Barbados,15.3
Belarus,2.3
Belgium,1.1
Belize,27.9
Bermuda,10.9
Bhutan,2.5
Bolivia,4
Bosnia and Herzegovina,1.1
Botswana,10.5
Brazil,21.3
British Virgin Islands,8.2
Brunei,0.5
Bulgaria,1.1
Burundi,5.8
Cape Verde,6.2
Cambodia,1.8
Cameroon,4.5
Canada,2.3
Cayman Islands,4.5
Chile,6.7
China,0.5
Colombia,25.4
Cook Islands,3.5
Costa Rica,12.8
Croatia,0.8
Cuba,4.4
Curaçao,17.1
Cyprus,0.6
Czech Republic,0.8
Denmark,1
Dominica,13.8
Dominican Republic,12.4
Ecuador,27
East Timor,4.1
Egypt,1.3
El Salvador,7.8
Eritrea,14.6
Estonia,2
Eswatini,12.7
Ethiopia,8.6
Fiji,2.2
Finland,1.2
France,1.1
French Guiana,13.3
French Polynesia,0.4
Georgia,2
Germany,0.8
Ghana,1.8
Gibraltar,3.2
Greece,1.1
Greenland,5.4
Grenada,4
Guadeloupe,5.8
Guam,4.2
Guatemala,20
Guinea-Bissau,1.1
Guyana,16.3
Haiti,18
Holy See,0
Honduras,35.1
Hong Kong,0.4
Hungary,0.9
Iceland,0.5
India,2.9
Indonesia,0.6
Iran,2.4
Iraq,9.4
Iraq. Central Iraq,15.4
Iraq (Kurdistan Region),2.2
Ireland,0.9
Isle of Man,0
Israel,1.9
Italy,0.5
Jamaica,53.3
Japan,0.2
Jordan,1.1
Kazakhstan,3.2
Kenya,4.9
Kiribati,7.2
Kosovo,2
Kuwait,0.3
Latvia,3.6
Lebanon,2.3
Lesotho,37.7
Liberia,3.1
Liechtenstein,5.1
Lithuania,2.4
Luxembourg,1.5
Macau,0.4
Malawi,1.8
Malaysia,0.7
Maldives,0.6
Malta,0.4
Marshall Islands,4
Martinique,2.8
Mauritania,1
Mauritius,2.2
Mayotte,5.8
Mexico,26.1
Micronesia,0.9
Monaco,0
Mongolia,6.2
Montenegro,2.6
Montserrat,0
Morocco,1.6
Mozambique,3.6
Myanmar,3.9
Namibia,12.4
Nepal,2.3
Netherlands,0.8
New Caledonia,3.1
New Zealand,2.6
Nicaragua,11
Niger,4.4
Nigeria,21.7
North Macedonia,0.9
Northern Ireland,1.4
Norway,0.6
Oman,0.3
Pakistan,4.2
Palau,11.2
Palestine,1.4
Panama,11.3
Papua New Guinea,9.4
Paraguay,7
Peru,5.7
Philippines,4.3
Poland,0.7
Portugal,0.8
Puerto Rico,17.6
Qatar,0.3
South Korea,0.5
Moldova,3
Réunion,1.7
Romania,1.3
Russia,6.8
Rwanda,3.6
Saint Helena,0
Saint Kitts and Nevis,29.4
Saint Lucia,36.7
Saint Martin,28.7
Saint Pierre and Miquelon,16.5
Saint Vincent and the Grenadines,40.4
Samoa,6.2
San Marino,0
São Tomé and Príncipe,3.2
Saudi Arabia,0.8
Scotland,1
Senegal,0.3
Serbia,1
Seychelles,4.7
Sierra Leone,2.1
Singapore,0.1
Slovakia,0.7
Slovenia,0.6
Solomon Islands,3.7
South Africa,41.9
South Sudan,14.1
Spain,0.7
Sri Lanka,3.4
Suriname,7.3
Sweden,1.1
Switzerland,0.5
Syria,2.1
Tajikistan,0.9
Tanzania,3.7
Thailand,4.8
Tonga,1
Trinidad and Tobago,40
Tunisia,4.6
Turkey,2.7
Turkmenistan,1.1
Turks and Caicos Islands,5.7
Tuvalu,0
Uganda,8.5
Ukraine,3.8
United Arab Emirates,0.5
United States,6.4
U.S. Virgin Islands,49.6
Uruguay,11.2
Uzbekistan,1.4
Vanuatu,0.3
Venezuela,19.3
Vietnam,1.5
Yemen,6.3
Zambia,5.2
Zimbabwe,6.7
