country,score
Afghanistan, 2.9
Andorra,29.5
Angola,10.2
Antigua and Barbuda,30.9
Argentina,26.3
Albania,17.6
Algeria,24.8
Armenia,19.5
Australia,28.6
Austria,18.4
Azerbaijan,22.5
Bahamas,36.2
Bahrain,35.1
Bangladesh,3.6
Barbados,31.3
Gambia,10.9
Georgia,20.8
Germany,20.1
Ghana,12.2
Greece,22.9
Grenada,26.2
Guatemala,18.6
Guinea,6.8
Guinea-Bissau,7.2
Guyana,22.9
Haiti,11.9
Honduras,18.
Hungary,24
Iceland,22.8
India,4.9
Indonesia,5.7
Iran (Islamic Republic of),26.1
Iraq,23.8
Ireland,25.6
Israel,25.3
Italy,21
Jamaica,27.2
Japan,3.3
Jordan,30.5
Kazakhstan,23.4
Kenya,7
Kiribati,40.6
Kuwait,39.7
Kyrgyzstan,14.4
Lao People's Democratic Republic,3.5
Latvia,23.7
Lebanon,31.9
Lesotho,14.2
Liberia,6.6
Libya,33.1
Lithuania,25.9
Luxembourg,23.1
Madagascar,5.4
Malawi,5.3
Malaysia,13.3
Maldives,7.9
Mali,6.8
Malta,26.6
Marshall Islands,42.8
Mauritania,9.7
Mauritius,17.9
Mexico,28.1
Micronesia (Federated States of),37.2
Mongolia,16.7
Montenegro,20
Morocco,22.3
Mozambique,5.3
Myanmar,2.9
Namibia,18.9
Nauru,45.6
Nepal,3.3
Netherlands,19.8
New Zealand,29.2
Nicaragua,17.1
Niger,4.3
Nigeria,11
Niue,43.2
Norway,23.1
Oman,30.9
Belarus,23.4
Belgium,20.2
Belize,22.5
Benin,9.3
Bhutan,6.7
Bolivia (Plurinational State of),17.1
Bosnia and Herzegovina,17.9
Botswana,22.4
Brazil,20
Brunei Darussalam,18.1
Bulgaria,23.2
Burkina Faso,6.3
Burundi,2.6
Cote d'Ivoire,9.2
Cabo Verde,13
Cambodia,3.2
Pakistan,5.4
Palau,47.6
Panama,26.8
Papua New Guinea,27.9
Paraguay,16.3
Peru,21.1
Philippines,5.1
Poland,25.2
Portugal,20.1
Qatar,42.3
Republic of Korea,5.8
Republic of Moldova,14.9
Romania,21.7
Russian Federation,24.1
Rwanda,4
Saint Kitts and Nevis,28.3
Saint Lucia,26.9
Saint Vincent and the Grenadines,24.3
Samoa,43.4
Sao Tome and Principe,12.3
Saudi Arabia,34.7
Senegal,9.8
Serbia,19.5
Seychelles,26.3
Sierra Leone,7.6
Singapore,6.2
Slovakia,25.7
Slovenia,25.1
Solomon Islands,27.7
Somalia,4.6
South Africa,26.8
South Sudan,7.5
Spain,23.7
Sri Lanka,6.5
Sudan,7.5
Suriname,26.1
Swaziland,17.7
Sweden,20.5
Switzerland,19.4
Syrian Arab Republic,23.5
Tajikistan,13.6
Thailand,8.5
The former Yugoslav republic of Macedonia,19.6
Timor-Leste,2.2
Togo,7.5
Tonga,43.3
Trinidad and Tobago,31.1
Tunisia,27.1
Turkey,29.5
Turkmenistan,20.1
Tuvalu,40.3
Uganda,4.9
Ukraine,20.1
United Arab Emirates,37.2
United Kingdom of Great Britain and Northern Ireland,28.1
United Republic of Tanzania,7.1
United States of America,33.7
Uruguay,26.7
Uzbekistan,15.5
Vanuatu,35.4
Venezuela (Bolivarian Republic of),24.8
Viet Nam,3.6
Yemen,17.2
Zambia,8.9
Zimbabwe,10.5
Cameroon,11.4
Canada,28
Central African Republic,5.1
Chad,8.1
Chile,27.8
China,6.9
Colombia,21
Comoros,6.6
Congo,11
Cook Islands,50.8
Costa Rica,24.3
Croatia,23.3
Cuba,25.2
Cyprus,23.8
Czech Republic,26.8
Democratic People's Republic of Korea,2.4
Democratic Republic of the Congo,4.4
Denmark,19.3
Djibouti,9.6
Dominica,25.8
Dominican Republic,23.9
Ecuador,18.7
Egypt,28.9
El Salvador,21.8
Equatorial Guinea,17.5
Eritrea,4.1
Estonia,22.6
Ethiopia,4
Fiji,36.4
Finland,20.6
France,23.9
Gabon,17.6
