country,score
India,66
China,57
United States,73
Indonesia,37
Pakistan,null
Nigeria,null
Brazil,20
Bangladesh,75
Russia,80
Mexico,27
Japan,40
Philippines,61
Egypt,45
Vietnam,65
Iran,84
Turkey,55
Germany,18
Thailand,39
United Kingdom,16
France,15
South Africa,23
Italy,17
Kenya,32
Myanmar,82
Colombia,54
South Korea,60
Spain,21
Iraq,null
Algeria,59
Argentina,22
Poland,25
Canada,2
Morocco,38
Ukraine,49
Saudi Arabia,85
Uzbekistan,71
Yemen,null
Ghana,33
Peru,43
Malaysia,48
Cameroon,30
Australia,12
Sri Lanka,78
Kazakhstan,68
Chile,51
Romania,50
Ecuador,56
Guatemala,76
Netherlands,3
Cambodia,58
Zimbabwe,47
Tunisia,31
Belgium,8
Dominican Republic,36
Jordan,44
Honduras,67
Sweden,4
Czech Republic,63
Azerbaijan,64
Greece,24
Portugal,13
Hungary,34
United Arab Emirates,81
Belarus,77
Israel,83
Austria,11
Switzerland,6
Hong Kong,null
Serbia,87
Libya,null
Kyrgyzstan,null
Bulgaria,29
El Salvador,79
Singapore,19
Denmark,7
Slovakia,46
Finland,9
Norway,5
Palestine,null
New Zealand,1
Costa Rica,28
Lebanon,72
Ireland,10
Oman,35
Panama,52
Kuwait,null
Croatia,62
Uruguay,74
Qatar,86
Lithuania,41
Slovenia,26
Latvia,53
Bahrain,70
Estonia,42
Cyprus,69
Luxembourg,14
