country,score
Canada,11.011049287616215
Cape Verde,16.033924483054534
Central African Republic,19.35334457069713
Chad,13.028649178992891
Chile,9.760797091971709
People's Republic of China,6.804010204242431
Algeria,3.6110278263014224
Colombia,5.345701283904654
Comoros,7.287806721518226
Republic of the Congo,12.422419108882368
Cook Islands,12.37299755422204
Costa Rica,7.5455714811669425
Ivory Coast,13.1948672106791
Croatia,11.076743493013597
Cuba,10.95107739758053
Cyprus,4.218740542219887
Czech Republic,10.61502326721182
American Samoa,7.3773930934288705
Democratic Republic of the Congo,12.108865858187356
Denmark,8.44787081828385
Djibouti,9.41560899761796
Commonwealth of Dominica,4.90554354951455
Dominican Republic,6.329608778917707
,7.234075211138341
,6.011895556281053
Republic of Ecuador,9.406797036606344
Egypt,3.5511343912253457
El Salvador,8.323343108292345
Andorra,7.142658827883077
,6.629918390902366
Equatorial Guinea,10.18979396302188
Eritrea,14.276553922853155
Estonia,12.176770641629409
Kingdom of Eswatini,24.53485269734183
Ethiopia,10.128312077853009
,12.158106870270675
,12.08098008194552
Republic of Fiji,9.605636326782175
Finland,12.997132659248106
Angola,12.289974611344938
France,12.488512823866245
,10.151488334443968
Gabon,13.35320053691454
Republic of The Gambia,9.986000160944773
Georgia,6.998107366269428
Germany,9.507900179496549
Ghana,9.737964903321314
Greece,3.497055463609319
Greenland,53.33557438923855
Grenada,4.589452828413882
Antigua and Barbuda,2.7699516182316946
Guam,18.802116388731505
Guatemala,5.495840973271767
Guinea,11.070658949895382
Guinea-Bissau,14.948479782834672
Guyana,32.620074975791
Haiti,9.62471805383772
Honduras,3.262113586965943
Hungary,13.676150522725695
Iceland,8.715072933150514
India,13.79916215251004
Argentina,10.4118524308221
Indonesia,2.9920187714820865
Iran,4.670944623862104
Iraq,5.540071675970137
Ireland,8.065870299394962
Israel,5.606955338445276
Italy,4.998540971793932
Jamaica,2.9162397741930617
Afghanistan,6.125510704626788
Japan,14.209059906510058
Jordan,2.545684269203388
Kazakhstan,22.687638556518603
Armenia,7.928105667065412
Republic of Kenya,10.892822454394494
Kiribati,26.55322778596141
Kuwait,2.748620196672781
Kyrgyzstan,9.753415326405417
Laos,6.3478678499422285
,6.583911725278807
Latvia,15.786697913954882
Lebanon,3.308127297692329
Kingdom of Lesotho,42.170262531955714
Liberia,8.855673033459432
Commonwealth of Australia,10.388880548760351
Libya,4.592123508152127
Lithuania,23.87130571573336
Luxembourg,8.65242154895181
Madagascar,9.777004596140486
Malawi,11.705520725025696
Malaysia,5.853218686924616
Maldives,3.7681834643552574
Mali,8.075892071978146
Republic of Malta,4.161664892198008
Marshall Islands,21.71960473702234
Austria,11.265618083180476
Mauritania,6.200388442918986
Mauritius,8.045819962707098
Mexico,6.014454506224211
Federated States of Micronesia,23.129365070186857
,4.453342114792152
Moldova,11.71269889431932
Monaco,10.347042979676646
Mongolia,16.734157927717614
Montenegro,14.46085073450897
Morocco,7.036060457427421
Azerbaijan,3.55576637772267
Mozambique,15.956847469034534
Republic of the Union of Myanmar,3.5638296156954983
Namibia,13.434653764132031
Nauru,22.559120132107125
Nepal,12.30727230054768
Netherlands,9.056826813938256
New Zealand,10.700272668598108
Nicaragua,5.719217348227238
Niger,9.059476835475298
Federal Republic of Nigeria,7.139150297291356
Bahamas,2.8287381881518487
Niue,11.777518920953414
,11.594782026103058
North Korea,9.60104851776782
Macedonia,7.749599610114856
,9.475371848773236
Northern Mariana Islands,17.29085148033723
Kingdom of Norway,8.893432533366038
,10.245915927182828
Oman,2.6257839780294683
Pakistan,8.791109994780294
Bahrain,4.7792311310608415
Palau,13.530313418622995
,2.977771886279664
Panama,4.727132324300277
Papua New Guinea,3.5882428471569403
Paraguay,6.098729067264011
Peru,2.924131055354439
Philippines,4.278733489468767
Poland,13.68317299223988
Portugal,7.969692474227508
Puerto Rico,5.565747974459304
Bangladesh,4.696879023761933
Qatar,4.017674292455414
,8.512320625240234
Romania,8.605847295096149
Russia,22.772238813158094
Rwanda,9.490917659057583
Saint Kitts and Nevis,3.290789715020309
Saint Lucia,6.582396503429369
Saint Vincent and the Grenadines,6.498155536281736
Samoa,13.106482756623704
San Marino,9.244892619428583
Barbados,3.911838108226236
São Tomé and Príncipe,2.561318031987597
Saudi Arabia,4.274465475602534
,10.41314695699663
Senegal,12.2149771923901
Serbia,12.543894404385986
Seychelles,7.7620420554215634
Sierra Leone,9.867023285516822
Republic of Singapore,6.590485202705669
Slovakia,9.837954671650596
Slovenia,13.756383907755191
Belarus,18.989673154706225
Solomon Islands,24.5851324429222
Federal Republic of Somalia,12.668923833711236
Republic of South Africa,13.497058841805275
,12.456179323207913
South Korea,19.54200112304764
South Sudan,8.53754916353452
,11.189289314970235
Kingdom of Spain,5.753265144277941
Sri Lanka,19.19140808132514
,10.601188205045778
Kingdom of Belgium,14.955020850040007
Sudan,5.707370859006778
Suriname,24.115840469739187
Sweden,10.733506476083962
Switzerland,9.595740133625174
Syria,2.289098312131866
Republic of China,13.3655537715733
Tajikistan,5.588442959387637
,10.279146492698676
Tanzania,10.056370012208694
Thailand,8.628065688897523
East Timor,5.644331033030826
Belize,7.356939266926262
Togo,11.766150547816643
Tokelau,10.160823708796604
Tonga,5.162761783539465
Trinidad and Tobago,9.909123336892948
Tunisia,3.303175914061856
Turkey,2.8321071790572843
Turkmenistan,8.680383401684889
Tuvalu,16.1604382037409
Uganda,10.794353048714122
Ukraine,26.34409735078635
Benin,10.872595745380528
United Arab Emirates,5.305595359527785
United States of America,11.671278872943796
United States Virgin Islands,6.205655608386827
Uruguay,16.517083886026715
Uzbekistan,11.33694325924421
Vanuatu,19.278366332441745
Venezuela,7.931856813033961
Vietnam,7.945194666432504
,8.452511912049193
Bermuda,3.151250324942456
,7.646028822127757
,9.389701743558136
,10.806666810938015
,10.937212528413864
,10.05611433442752
,7.843497017681124
Yemen,6.137930383289772
Zambia,13.825075215803112
Zimbabwe,23.411727916196924
Bhutan,5.865627200967118
Bolivia,6.834038841898182
Bosnia and Herzegovina,8.355047784871434
Botswana,19.03010569753261
Brazil,5.681944214940224
Brunei,5.755562458691752
Bulgaria,10.793242305176344
Albania,4.92748908617955
Burkina Faso,12.90240168753547
Burundi,12.39535243710866
Cambodia,5.123497969541011
Cameroon,13.261468766257762
